Objection Status,First Contact Date,Nationality,Main Contact Platform,Lead Quality,Service,Ad Source,Objection Type,Quote_English,Nationality_Category
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,DM,Risk / Guarantee Concerns,"If the conditions are not met, then the food on my side will return the money as well.",Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Want to work in Australia, is it possible? I don't know English.",Khmer
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTC02 | #K01-K,Employme - Out Of Scope,Visa to work in Korea has,Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Visa to go out or visa for us to work,Khmer
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Want to know the visa to work,Khmer
Unsolved,2026-03-27,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"I want to work in Australia, how much does it cost, brother?",Khmer
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Lost,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,DM,Documentation,"Related to my work documents, I have quit working for a long time.",Khmer
Unsolved,2026-02-17,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTE01 | #C01-K,Risk / Guarantee Concerns,"Excuse me, is it possible to get a visa? I want to ask if it can be sent to the embassy to get a visa.",Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,What work do they choose to do there?,Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Others,Just assume to live there?,Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,(AUSTC01 | #A01-K,Employme - Out Of Scope,I want to go work there. What do I need to bring?,Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I think I am working in Australia,Khmer
Unsolved,2025-02-16,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,ad_id.120225091087400078,Others,"Don't want to go out to play, just want to live forever.",Khmer
Unsolved,2026-03-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"You just have to put it close, right? And how much do you spend?",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTM02 | #C01-K,Lack of Understanding,Because there are no relatives like that,Khmer
Unsolved,2026-03-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,ad_id.120225091087400078,Others,Do you have a visa that allows us to stay for 2 or 3 months?,Khmer
Unsolved,2026-03-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Australian visa, should we apply to work or what?",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Are we looking for a job as an individual or a company to find for us?,Khmer
Unsolved,2026-03-04,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,USATH01 | #U01-K,Employme - Out Of Scope,"Want to apply to work in Canada, ok?",Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Want to ask about applying for a visa to go to America, right?",Khmer
Unsolved,2026-04-02,KHM,Facebook - Explorer by SL,Qualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,CANTE01 | #C01-K,Documentation,No patent card exchange available,Khmer
Unsolved,2026-01-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Risk / Guarantee Concerns,"For the $365 service, it's okay dear, but just afraid of the interview not passing.",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Lost,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,ad_id.120225091087400078,Documentation,"On the other hand, there is neither staff nor business. What do you think?",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want to ask for information about working there,Khmer
Unsolved,2026-03-28,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"I want to ask if we do that, what will the company spend our capital on?",Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"Within 10 to 15 days, if the visa is not rejected, then I will return it to you, right?",Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"Within 10 to 15 days, if the visa is not rejected, then I will return it to you again, right?",Khmer
Unsolved,2026-03-27,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,DM,Documentation,So what if I stop trying and do a little?,Khmer
Unsolved,2026-03-28,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,CHNTM02 | #C01-K,Processing Time,"Yours, so not yet ready, so on the 14th we submit now, not yet ready",Khmer
Unsolved,2026-04-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"I want to work in Australia. What are the requirements, brother?",Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you want to go to work?,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,How to apply for a job here?,Khmer
Unsolved,2025-12-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTE01 | #A01-K,Employme - Out Of Scope,Because I want to live in Canada and want to find a job in Canada.,Khmer
Unsolved,2026-04-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I only have a question to ask if there are options for Khmer people to work in Australia or not.,Khmer
Unsolved,2025-10-02,KHM,Facebook - Explorer by SL,Unqualified,"VISA-KR | TOU | SIN-V90D-DIS | E | KHM, VISA-AU | TOU | DIS-DIS-DIS | E | KHM",#V0014-#TAVK04,Employme - Out Of Scope,"If I want to go to work but have no guarantor, how should I contact?",Khmer
Unsolved,2026-01-23,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"That has fallen, my dear, can hope to pass or not",Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Go to Australia, then we go to visit or to work",Khmer
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Can we go pick fruit?,Khmer
Unsolved,2026-04-06,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want to work in Australia. How do I apply and how much does it cost?,Khmer
Unsolved,2026-04-06,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Hello brother Visat, are you going to the forest or to work?",Khmer
Unsolved,2026-04-06,KHM,Facebook - Explorer by SL,Qualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"So if in the case that we have applied but did not receive the visa, will the younger sibling be charged by the older sibling or what?",Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Awaiting Documents & Payment,VISA - CA | TOU | DIS-DIS-180D | S | KHM,ad_id.120225091087400078,Lack of Understanding,This brother Nyom does not yet understand the place to list the deposit.,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Lost,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,USATE01 | #U01-K,Lack of Understanding,"So that's how it is, they don't speak in a package. Now you know, there is none.",Khmer
Unsolved,2026-04-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I want to go work there,Khmer
Unsolved,2026-04-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"Want to go do some work, can go brother",Khmer
Unsolved,2026-04-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I want to apply for a visa to work in Australia,Khmer
Unsolved,2026-03-27,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"I want to work in Australia. How much does it cost, brother?",Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Processing Time,"So is it late? Three, four, five days, isn't there any?",Khmer
Unsolved,2026-04-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Others,"I don't want to go out to play, I want to live. What should I do?",Khmer
Unsolved,2026-04-07,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,I want to know about work visas in Australia,Khmer
Unsolved,2026-01-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Risk / Guarantee Concerns,"For the $365 service, it's okay, dear, but just afraid of the interview not passing.",Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,What kind of work do you choose to do there?,Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I want to go to work there,Khmer
Unsolved,2026-03-29,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I just thought about working in Australia,Khmer
Unsolved,2026-03-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Others,"If we go for a walk, what can we do? We can live and be eternal, right?",Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Price,"Is the price negotiable, brother?",Khmer
Unsolved,2026-03-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,ad_id.120218483048450078,Processing Time,Why too long bong,Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,DM,Employme - Out Of Scope,Visa to work,Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,Are you not going to work?,Khmer
Unsolved,2026-04-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Want to work in Australia,Khmer
Unsolved,2026-04-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"I want to go to work, brother.",Khmer
Unsolved,2026-04-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,I just thought about going to work in Australia,Khmer
Unsolved,2026-04-02,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Isn't it a visa to work?,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTM02 | #C01-K,Employme - Out Of Scope,And can we do it?,Khmer
Unsolved,2026-04-02,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Documentation,I don't have a family book,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Want to do seasonal work,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,How to apply for a job here?,Khmer
Unsolved,2026-01-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,CANTM02 | #C01-K,Employme - Out Of Scope,"I want to work in one of these four countries: America, Australia, New Zealand, Canada.",Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,Do you have a visa?,Khmer
Unsolved,2026-04-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"I want to work in Australia. What are the requirements, brother?",Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So, if we want to become workers again, brother",Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you want to go to work or not?,Khmer
Unsolved,2026-04-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,Can't we go to work?,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,Just assume Visa to work in Australia,Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,USATM02 | #U01-K,Employme - Out Of Scope,Do you want to work or not?,Khmer
Unsolved,2025-07-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120218483048450078,Employme - Out Of Scope,Go to work or go for a walk?,Khmer
Unsolved,2026-04-21,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,Do you have a visa to work?,Khmer
Unsolved,2025-12-25,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Because I want to live in Canada and want to find a job in Canada.,Khmer
Unsolved,2026-04-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Go to work or go for a walk?,Khmer
Unsolved,2026-04-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I only have a question to ask if there are options for Khmer brothers and sisters to work in Australia or not.,Khmer
Unsolved,2025-10-02,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,#V0014-#TAVK04,Employme - Out Of Scope,If you want to work but have no guarantor,Khmer
Unsolved,2025-09-13,KHM,Facebook - Explorer Travel Agency,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,VF003C1-#TAFVJ01,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2024-03-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Processing Time,Can I have it in a hurry?,Khmer
Unsolved,2026-04-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"What can of work, brother?",Khmer
Unsolved,2026-04-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120236800695520078,Employme - Out Of Scope,"Do you have work visa, brother?",Khmer
Unsolved,2026-04-24,KHM,Facebook - Explorer Travel Agency,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I only have have cash,Khmer
Unsolved,2024-07-24,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,DM,Documentation,"Honestly, I just want to ask you with the purpose of wanting to work in case you have work visas",Khmer
Unsolved,2025-09-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,#V0014*C2 - #TAVK03,Employme - Out Of Scope,Can you process work visa and how to process it?,Khmer
Unsolved,2026-04-21,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,I want to work in Australia how can I prepare documents?,Khmer
Unsolved,2026-04-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"Sorry, brother I thought you are looking for people to work",Khmer
Unsolved,2026-04-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,How can I get to work in Australia?,Khmer
Unsolved,2026-04-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,I want to work there too.,Khmer
Unsolved,2026-04-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,How can I get to work in Australia?,Khmer
Unsolved,2026-04-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,I want to apply to work in Australia can you give me more information,Khmer
Unsolved,2026-04-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"Yes, sister I thought it's for working there.",Khmer
Unsolved,2025-07-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,ad_id.120228918109050078,Employme - Out Of Scope,There is a company that processes for illegal workers in Korea and I've heard that they can go,Khmer
Unsolved,2026-04-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120238305055740078,Employme - Out Of Scope,I want to work there what are the required documents.,Khmer
Unsolved,2026-04-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I thought it is for working,Khmer
Unsolved,2026-04-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,I thought you are looking for workers to foreign countries,Khmer
Unsolved,2026-04-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"Do you have a work visa, brother?",Khmer
Unsolved,2026-04-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241480473120479,Employme - Out Of Scope,Can you do work visa?,Khmer
Unsolved,2026-04-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Hello brother what if I want to work in Australia do we need those documents?,Khmer
Unsolved,2026-04-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120236800695520078,Employme - Out Of Scope,"I want to work there, not going for a tour",Khmer
Unsolved,2026-04-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"I want to go for a long time like working for 2-3 years, can I do that?",Khmer
Unsolved,2026-04-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,"Yes, teacher I want to ask about working there",Khmer
Unsolved,2026-04-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,What if I want to apply for a work visa to Australia what do I need?,Khmer
Unsolved,2026-04-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120241484625530479,Employme - Out Of Scope,What kind of work do you have in Australia?,Khmer
Unsolved,2026-04-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"For this visa, can I work there?",Khmer
Unsolved,2026-03-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120236800695520078,Employme - Out Of Scope,Visa for work can or not?,Khmer
Unsolved,2026-04-29,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,"ad_id.120241501124890479",Employme - Out Of Scope,What work is there in Japan?,Khmer
Unsolved,2025-12-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120236454074360078,Documentation,My bank account doesn't have money,Khmer
Unsolved,2026-04-27,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,ad_id.120237359038820078,Risk / Guarantee Concerns,What if your side doesn't process the correct documents,Khmer
Unsolved,2025-08-31,FOR,Facebook - Explorer Travel Agency,Lost,VISA-HK | TOU | SIN-V90D-DIS | E | FOR,VF009M1 - TAFVHK01,Lack of Understanding,All ok I see that's why I ask you some more.,Non-Khmer
Unsolved,2026-02-12,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Risk / Guarantee Concerns,I have a Pakistani passport.. so what are the chances?,Non-Khmer
Unsolved,2025-11-03,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-HK | TOU | SIN-V90D-DIS | E | FOR,VF009M1 - TAFVHK01,Documentation,Which documents are required for Hong Kong Visa?,Non-Khmer
Unsolved,2026-02-14,FOR,Facebook - Explorer Travel Agency,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Trust,How do you take payment?,Non-Khmer
Unsolved,2026-02-15,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Risk / Guarantee Concerns,"If my documents are all in order, will I get a visa if I apply for one? And if I don't get the visa, won't they refund my money?",Non-Khmer
Unsolved,2026-01-13,FOR,Facebook - Explorer Travel Agency,Lost,VISA-CA | TOU | DIS-DIS-DIS | S | FOR,Telegram Visa 1,Risk / Guarantee Concerns,How many percent chances to get Visa?,Non-Khmer
Unsolved,2026-02-14,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Risk / Guarantee Concerns,And get approved?,Non-Khmer
Unsolved,2026-02-03,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-HK | TOU | SIN-V90D-DIS | E | FOR,VF009C1 - TAFVHK01,Documentation,I have not shareholder documents or businesses registration documents.,Non-Khmer
Unsolved,2026-02-12,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,Telegram Visa 1,Comparison / Competitor Claim,You may have no idea because I can pay another agency and they do it for me without having to show any documents.,Non-Khmer
Unsolved,2026-02-03,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-CA | TOU | DIS-DIS-DIS | S | FOR,CANTM02 | #C01-K,Employme - Out Of Scope,I want to apply to work in Canada.,Non-Khmer
Unsolved,2026-02-17,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Employme - Out Of Scope,Work Visa?,Non-Khmer
Unsolved,2026-02-17,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Risk / Guarantee Concerns,How many percent Guarantee are you giving me that I will get the visa,Non-Khmer
Unsolved,2026-02-18,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTM05|AU1-F,Employme - Out Of Scope,Work Visa?,Non-Khmer
Unsolved,2026-02-17,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-HK | TOU | SIN-V90D-DIS | E | FOR,VF009M1 - TAFVHK01,Documentation,I don't have any bank statement,Non-Khmer
Unsolved,2026-02-17,FOR,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Employme - Out Of Scope,Do you have any working visa in Australia?,Non-Khmer
